text,predictions
but the staff was so horrible to us.,"[('staff', None), ('staff', None)]"
"to be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of teodora.","[('teodora', None), ('food', None)]"
"the food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.","[('kitchen', None), ('menu', None), ('food', None)]"
where gabriela personaly greets you and recommends you what to eat.,"[('gabriela', None), ('food', None)]"
"for those that go once and don't enjoy it, all i can say is that they just don't get it.",[]
"not only was the food outstanding, but the little 'perks' were great.","[('perks', None), ('food', None)]"
it is very overpriced and not very tasty.,"[('price', None), ('food', None)]"
our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,"[('waiters', None), ('dish', None), ('meats', None), ('orrechiete with sausage and chicken', None)]"
"the bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.","[('bagels', None), ('texture', None)]"
nevertheless the food itself is pretty good.,"[('food', None), ('itself', None)]"
"i've noticed megadeth, mr. scruff, st. germain, traditional vietnamese songs, black sabbath, jay-z, and daft punk all being played.","[('vietnamese songs', None), ('sabbath', None), ('punk', None)]"
"they did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.","[('cheese', None), ('mayonnaise', None), ('ingredients', None), ('omelet', None), ('bacon', None), ('cheese', None)]"
"it took half an hour to get our check, which was perfect since we could sit, have drinks and talk!","[('drinks', None), ('check', None)]"
the design and atmosphere is just as good.,"[('design', None), ('atmosphere', None)]"
he has visited thailand and is quite expert on the cuisine.,"[('cuisine', None), ('thailand', None)]"
i would definitely recommend mary's and am making it one of my regular neighborhood haunts.,"[('haunts', None), ('mary', None)]"
the pizza is the best if you like thin crusted pizza.,"[('crusted pizza', None), ('pizza', None)]"
my girlfriend and i stumbled onto this hopping place the other night and had a great time!,"[('time', None), ('place', None)]"
"he can't help, they're bought up so fast.","[('he', None), ('a', None)]"
"secondly, on this night the place was overwhelmed by upper east side ladies perfume.","[('place', None), ('perfume', None)]"
"i have eaten here a handful of times, for no reason besides sheer convenience.","[('convenience', None), ('food', None)]"
obviously run by folks who know a pie.,"[('pie', None), ('folks', None)]"
we were very disappointed.,[]
it is definitely special and affordable.,"[('price', None)]"
i really liked this place.,"[('place', None), ('place', None)]"
i will be going back very soon.,"[('i', None), ('back', None)]"
"all the money went into the interior decoration, none of it went to the chefs.","[('interior decoration', None), ('chefs', None)]"
the seats are uncomfortable if you are sitting against the wall on wooden benches.,"[('seats', None), ('wooden benches', None)]"
"i asked for seltzer with lime, no ice.","[('lime', None), ('ice', None)]"
it was pretty inexpensive too.,[]
will not be back.,"[('re', None), ('back', None)]"
"don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.","[('seafoods', None), ('meats', None), ('experience', None), ('pickles', None)]"
my suggestion is to eat family style because you'll want to try the other dishes.,"[('style', None), ('dishes', None)]"
"best of all is the warm vibe, the owner is super friendly and service is fast.","[('service', None), ('owner', None)]"
this isn't a value joint.,"[('joint', None), ('value', None)]"
faan's got a great concept but a little rough on the delivery.,"[('concept', None), ('delivery', None)]"
"from the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.","[('spot', None), ('atmosphere', None), ('food', None)]"
"great food at reasonable prices, makes for an evening that can't be beat!","[('prices', None), ('food', None)]"
look foward to trying the ruben upon returning.,"[('ruben', None), ('returning', None)]"
the only other steakhouse that seems to hold a candle to roth's is the strip house.,"[('steakhouse', None), ('strip house', None)]"
we usually go to the chart house to celebrate a birthday or anniversary.,"[('chart house', None), ('birthday', None)]"
this little place has a cute interior decor and affordable city prices.,"[('prices', None), ('interior decor', None)]"
you'll adore it.,"[('eat', None), ('adorn', None)]"
two words: free wine.,"[('wine', None), ('free', None)]"
the price is reasonable although the service is poor.,"[('service', None), ('price', None)]"
"the quantity is also very good, you will come out satisfied.","[('quantity', None), ('quality', None)]"
i have been to roth's twice and both times were very disappointing.,"[('roth', None), ('lunch', None)]"
worth visiting the 1st ave spot because it is the original store.,"[('spot', None), ('store', None)]"
"i stumbled upon this second floor walk-up two fridays ago when i was with two friends in town from l.a. being serious sushi lovers, we sat at the sushi bar to be closer to the action.","[('sushi bar', None), ('floor', None)]"
"raga's is a romantic, cozy restaurant.","[('raga', None), ('restaurant', None)]"
the fried rice is amazing here.,"[('fried rice', None), ('place', None)]"
"three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.","[('mussels', None), ('courses', None), ('hanger steak au poivre', None), ('mussels', None), ('puff pastry goat cheese', None)]"
it's a perfect place to have a amanzing indian food.,"[('indian food', None), ('place', None)]"
the place is so cool and the service is prompt and curtious.,"[('service', None), ('place', None)]"
at the end you're left with a mild broth with noodles that you can slurp out of a cup.,"[('cup', None), ('broth with noodles', None)]"
i just wonder how you can have such a delicious meal for such little money.,"[('meal', None), ('money', None)]"
the food was delicious but do not come here on a empty stomach.,"[('food', None), ('stomach', None)]"
the wine list is excellent.,"[('wine list', None), ('wine list', None)]"
so garantuan that you can't fit them in a toaster.,"[('toaster', None), ('size', None)]"
"ive been to many thai restaurants in manhattan before, and toons is by far the best thai food ive had (except for my mom's of course).","[('thai food', None), ('toons', None)]"
they wouldnt even let me finish my glass of wine before offering another.,"[('glass of wine', None), ('offering', None)]"
i highly recommend the sophia pizza.,"[('sophia pizza', None), ('pizza', None)]"
"whem asked, we had to ask more detailed questions so that we knew what the specials were.","[('specials', None), ('questions', None)]"
this is a consistently great place to dine for lunch or dinner.,"[('dinner', None), ('lunch', None)]"
"nice atmosphere, the service was very pleasant and the desert was good.","[('service', None), ('atmosphere', None), ('desert', None)]"
all the people that i bring there go back on their own and bring their friends!,"[('people', None), ('friends', None)]"
after really enjoying ourselves at the bar we sat down at a table and had dinner.,"[('dinner', None), ('bar', None), ('table', None)]"
"fabulous service, fantastic food, and a chilled out atmosphere and environment.","[('service', None), ('atmosphere', None), ('food', None)]"
not what i wanted to hear.,"[('i', None), ('a', None)]"
try the lasagnette appetizer.,"[('lasagnette appetizer', None), ('lasagnette appetizer', None)]"
"pricey, but worth a try, at least once.","[('a', None), ('b', None), ('s', None)]"
"i've been there a few times, and i usually end up sitting next to some pretty odd people.","[('people', None), ('sitting', None)]"
i liked the beer selection!,"[('beer selection', None), ('beer selection', None)]"
"great food, good size menu, great service and an unpretensious setting.","[('menu', None), ('food', None), ('service', None), ('setting', None)]"
go here for a romantic dinner but not for an all out wow dining experience.,"[('dinner', None), ('dining experience', None)]"
can't wait to go back.,"[('wait', None), ('food', None)]"
i grew up eating dosa and have yet to find a place in ny to satisfy my taste buds.,"[('taste', None), ('dosa', None)]"
wine list selection is good and wine-by-the-glass was generously filled to the top.,"[('wine list selection', None), ('wine-by-the-glass', None)]"
"with the great variety on the menu , i eat here often and never get bored .","[('menu', None), ('variety', None)]"
the menu is very limited - i think we counted 4 or 5 entrees.,"[('entrees', None), ('menu', None)]"
"if you are a carnivore, come hungry and you will leave more satisfied than you have ever been.","[('carnivore', None), ('food', None)]"
the menu is limited but almost all of the dishes are excellent.,"[('menu', None), ('dishes', None)]"
not too crazy about their sake martini.,"[('sake martini', None), ('sake martini', None)]"
"great bagels, spreads and a good place to hang out in.","[('bagels', None), ('spreads', None)]"
"the service varys from day to day- sometimes they're very nice, and sometimes not.","[('service', None), ('day', None)]"
