text,labs
this was one of the best restaurants i've ever been to.,[]
this restaurant used to be pretty decent.,"[('restaurant', None)]"
i recently went to this restaurant with some co-workers for lunch and had an amazing time.,"[('time', None)]"
went there and had a combination of different seafood dishes and appetizers.,"[('seafood dishes', None), ('combination', None), ('appetizers', None)]"
"we went here for lunch a couple of weeks ago on a saturday, and i was thoroughly impressed with the food.","[('food', None)]"
"the food was very good, a great deal, and the place its self was great.","[('food', None)]"
"the food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.","[('food', None), ('fare', None)]"
i would definently recommend this restaurant.,"[('restaurant', None)]"
this place is a great stop for great food.,"[('stop', None), ('place', None), ('food', None)]"
everything about this restaurant was special.,"[('restaurant', None)]"
"the staff was accomodating, the food was absolutely delicious and the place is lovely.","[('place', None), ('food', None), ('staff', None)]"
i highly recommend visiting this restaurant and having dinner and drinks!,[]
this restaurant is such a great place.,"[('place', None), ('restaurant', None)]"
it is the best deal in town for a monday night dinner at a fine restaurant.,"[('restaurant', None)]"
this is a fun restaurant to go to.,"[('restaurant', None)]"
i recommend this place to everyone who asks me where to go for a good meal.,"[('meal', None)]"
i found this restaurant to be one that truly values its patrons.,[]
i went there for lunch and it was not as good as i expected from the reviews i read.,[]
i highly recommend the restaurant based on our experience last night.,[]
i came into the city to try out this restaurant because a friend had recommended it to my husband.,"[('city', None), ('restaurant', None)]"
"the food is consistently wonderful - i've been coming here for years, and the owner has always been accomodating and friendly.","[('owner', None), ('food', None)]"
"the food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",[]
"for those that go once and don't enjoy it, all i can say is that they just don't get it.",[]
"not only was the food outstanding, but the little 'perks' were great.",[]
"it took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",[]
he has visited thailand and is quite expert on the cuisine.,[]
"he can't help, they're bought up so fast.",[]
"secondly, on this night the place was overwhelmed by upper east side ladies perfume.",[]
"i have eaten here a handful of times, for no reason besides sheer convenience.",[]
obviously run by folks who know a pie.,[]
we were very disappointed.,[]
it is definitely special and affordable.,[]
i really liked this place.,[]
i will be going back very soon.,[]
"all the money went into the interior decoration, none of it went to the chefs.",[]
"i asked for seltzer with lime, no ice.",[]
it was pretty inexpensive too.,[]
will not be back.,[]
"don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",[]
my suggestion is to eat family style because you'll want to try the other dishes.,[]
look foward to trying the ruben upon returning.,[]
we usually go to the chart house to celebrate a birthday or anniversary.,[]
you'll adore it.,[]
two words: free wine.,[]
worth visiting the 1st ave spot because it is the original store.,[]
"i stumbled upon this second floor walk-up two fridays ago when i was with two friends in town from l.a. being serious sushi lovers, we sat at the sushi bar to be closer to the action.",[]
