text,labs
but the staff was so horrible to us.,"[('staff', None)]"
"to be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of teodora.","[('teodora', None), ('factor', None)]"
where gabriela personaly greets you and recommends you what to eat.,"[('gabriela', None)]"
it is very overpriced and not very tasty.,"[('price', None)]"
our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,"[('orrechiete', None), ('dish', None), ('waiters', None), ('half', None)]"
"the bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.","[('texture', None), ('bagels', None), ('taste', None)]"
nevertheless the food itself is pretty good.,"[('food', None)]"
"i've noticed megadeth, mr. scruff, st. germain, traditional vietnamese songs, black sabbath, jay-z, and daft punk all being played.","[('mr. scruff', None), ('traditional vietname', None), ('st. germain', None), ('songs', None), ('daft punk', None), ('sabbath', None), ('megadeth', None), ('z', None)]"
"they did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.","[('bacon', None), ('mayonnaise', None), ('toast', None), ('ingredients', None), ('temperatures', None)]"
the design and atmosphere is just as good.,"[('design', None), ('atmosphere', None)]"
i would definitely recommend mary's and am making it one of my regular neighborhood haunts.,"[(""mary's"", None), ('neighborhood haunts', None)]"
the pizza is the best if you like thin crusted pizza.,"[('thin crusted pizza', None)]"
my girlfriend and i stumbled onto this hopping place the other night and had a great time!,"[('hopping place', None), ('time', None)]"
the seats are uncomfortable if you are sitting against the wall on wooden benches.,"[('seats', None), ('benches', None)]"
"best of all is the warm vibe, the owner is super friendly and service is fast.","[('warmth', None), ('service', None), ('vibe', None), ('owner', None)]"
this isn't a value joint.,"[('value joint', None)]"
faan's got a great concept but a little rough on the delivery.,"[('faan', None), ('concept', None), ('delivery', None)]"
"from the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.","[('atmosphere', None), ('service', None), ('food', None), ('beat', None), ('downtown neighborhood spot', None)]"
"great food at reasonable prices, makes for an evening that can't be beat!","[('price', None), ('food', None), ('prices', None)]"
the only other steakhouse that seems to hold a candle to roth's is the strip house.,"[(""roth's"", None), ('steakhouse', None), ('candle', None), ('strip house', None)]"
this little place has a cute interior decor and affordable city prices.,"[('city prices', None), ('price', None), ('interior decor', None), ('place', None)]"
the price is reasonable although the service is poor.,"[('service', None), ('price', None)]"
"the quantity is also very good, you will come out satisfied.","[('quantity', None)]"
i have been to roth's twice and both times were very disappointing.,"[(""roth's"", None), ('times', None)]"
"raga's is a romantic, cozy restaurant.","[(""raga's"", None), ('restaurant', None)]"
the fried rice is amazing here.,"[('fried rice', None)]"
the place is so cool and the service is prompt and curtious.,"[('place', None), ('service', None)]"
the food was delicious but do not come here on a empty stomach.,"[('food', None), ('stomach', None)]"
the wine list is excellent.,"[('wine list', None)]"
so garantuan that you can't fit them in a toaster.,"[('fit', None), ('toaster', None)]"
"ive been to many thai restaurants in manhattan before, and toons is by far the best thai food ive had (except for my mom's of course).","[('toons', None), ('manhattan', None), ('restaurants', None), ('food', None)]"
i highly recommend the sophia pizza.,"[('sophia pizza', None)]"
"nice atmosphere, the service was very pleasant and the desert was good.","[('atmosphere', None), ('service', None)]"
after really enjoying ourselves at the bar we sat down at a table and had dinner.,"[('bar', None)]"
"fabulous service, fantastic food, and a chilled out atmosphere and environment.","[('atmosphere', None), ('service', None), ('food', None), ('environment', None)]"
"pricey, but worth a try, at least once.","[('pricey', None), ('try', None)]"
i liked the beer selection!,"[('beer selection', None)]"
"great food, good size menu, great service and an unpretensious setting.","[('service', None), ('setting', None), ('food', None), ('size menu', None)]"
wine list selection is good and wine-by-the-glass was generously filled to the top.,"[('wine list selection', None), ('wine-by-the-glass', None)]"
"with the great variety on the menu , i eat here often and never get bored .","[('variety', None), ('menu', None)]"
the menu is very limited - i think we counted 4 or 5 entrees.,"[('menu', None)]"
the menu is limited but almost all of the dishes are excellent.,"[('dishes', None), ('menu', None)]"
not too crazy about their sake martini.,"[('martini', None)]"
"great bagels, spreads and a good place to hang out in.","[('spreads', None), ('bagels', None), ('place', None)]"
"the service varys from day to day- sometimes they're very nice, and sometimes not.","[('service', None)]"
"whoever the jazz duo was, they were on point.","[('jazz duo', None)]"
"unfortunately, the food is outstanding, but everything else about this restaurant is the pits.","[('pits', None), ('food', None), ('restaurant', None)]"
the pizza was pretty good and huge.,"[('pizza', None)]"
"the cuisine from what i've gathered is authentic taiwanese, though its very different from what i've been accustomed to in taipei.","[('taiwanese cuisine', None)]"
heartland brewery is by far one of the best places in nyc to make new friends and catch up with old ones.,"[('heartland brewery', None), ('friends', None), ('ones', None)]"
i almost hesititate to write a review because the atmosphere was so great and i would hate for it too become to crowded.,"[('atmosphere', None), ('review', None)]"
they are often crowded on the weekends but they are efficient and accurate with their service.,"[('service', None)]"
"the atmosphere is unheralded, the service impecible, and the food magnificant.","[('atmosphere', None), ('service', None), ('food', None)]"
"the wait staff is friendly, and the food has gotten better and better!","[('wait staff', None), ('food', None)]"
"it may be a bit packed on weekends, but the vibe is good and it is the best french food you will find in the area.","[('french food', None), ('vibe', None), ('area', None)]"
le pere pinard has a $15 pre-theater menu that is outstanding.,"[('le pere pinard', None), ('menu', None)]"
we have been to montparnasse many times and return often for good reason.,"[('montparnasse', None), ('times', None), ('reason', None), ('return', None)]"
we had the lobster sandwich and it was fantastic.,"[('lobster sandwich', None)]"
"though the spider roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.","[('spider roll', None), ('price', None), ('challenge', None), ('shell crab', None)]"
deep fried skewers are good and still rare to find in nyc.,"[('deep fried skewers', None), ('nyc', None)]"
their tuna tartar appetizer is to die for.,"[('tuna tartar', None)]"
"if you love wine and cheese and delicious french fare, you'll love artisanal!","[('artisanal', None), ('wine', None), ('cheese', None), ('fare', None)]"
plenty of choices to make your own creation.,"[('options', None), ('choices', None), ('creation', None)]"
the lava cake dessert was incredible and i recommend it.,"[('lava cake', None)]"
vt is what baby pizzas hope to be when they grow up.,"[('vt', None), ('baby pizzas', None)]"
"from the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.","[('service', None), ('food', None), ('experience', None), ('managers', None)]"
lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for four dollars.,"[('lahore', None), ('duck', None), ('place', None), ('food', None)]"
good selection of wines ranging from affordable to high end.,"[('selection of wines', None), ('end', None)]"
not impressed with the food.,"[('food', None)]"
the entire dining experience was wonderful!,"[('dining experience', None)]"
the wine selection (by the glass and bottle) is wonderful and i always recommend that friends make a reservation if they're going to be in town.,"[('wine selection', None), ('bottle', None), ('glass', None)]"
service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,"[('service', None)]"
"order the panang duck, it's fantastic.","[('panang duck', None)]"
"food is usually very good, though ocasionally i wondered about freshmess of raw vegatables in side orders.","[('vegatables', None), ('food', None)]"
"other than the crappy service from two individuals, it's great.","[('service', None)]"
i've never felt more unwelcome than last month at jimmy's bronx cafe.,"[(""jimmy's bronx cafe"", None)]"
"luckily we saved room for the bbq salmon, sea bass and crispy duck.","[('crispy duck', None), ('sea bass', None), ('bbq salmon', None), ('room', None)]"
and yes dal bukhara is so dam good and so are all the kababs.,"[('dal bokhara', None)]"
i've been coming here as a child and always come back for the taste.,"[('taste', None)]"
