text,terms,lab_sim
but the staff was so horrible to us.,"[('staff', None)]",0.27949256
"to be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of teodora.","[('teodora', None)]",0.28904924
where gabriela personaly greets you and recommends you what to eat.,"[('gabriela', None)]",0.4747045
it is very overpriced and not very tasty.,"[('price', None)]",0.5411867
our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,"[('orrechiete', None)]",0.6153222
"the bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.","[('texture', None), ('bagels', None)]",0.3964756
nevertheless the food itself is pretty good.,"[('food', None)]",0.71142197
"i've noticed megadeth, mr. scruff, st. germain, traditional vietnamese songs, black sabbath, jay-z, and daft punk all being played.","[('mr. scruff', None), ('traditional vietname', None), ('st. germain', None)]",0.12548116
"they did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.","[('bacon', None), ('mayonnaise', None), ('toast', None), ('ingredients', None)]",0.35858706
the design and atmosphere is just as good.,"[('design', None), ('atmosphere', None)]",0.40260032
i would definitely recommend mary's and am making it one of my regular neighborhood haunts.,"[(""mary's"", None)]",0.4121644
the pizza is the best if you like thin crusted pizza.,"[('thin crusted pizza', None)]",0.47299582
my girlfriend and i stumbled onto this hopping place the other night and had a great time!,"[('hopping place', None)]",0.3939798
the seats are uncomfortable if you are sitting against the wall on wooden benches.,"[('seats', None)]",0.18546914
"best of all is the warm vibe, the owner is super friendly and service is fast.","[('warmth', None), ('service', None), ('vibe', None)]",0.5456604
this isn't a value joint.,"[('value joint', None)]",0.1537344
faan's got a great concept but a little rough on the delivery.,"[('faan', None)]",0.35312533
"from the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.","[('atmosphere', None), ('service', None), ('food', None)]",0.5329192
"great food at reasonable prices, makes for an evening that can't be beat!","[('price', None), ('food', None)]",0.7396333
the only other steakhouse that seems to hold a candle to roth's is the strip house.,"[(""roth's"", None)]",0.41012254
this little place has a cute interior decor and affordable city prices.,"[('city prices', None), ('price', None), ('interior decor', None)]",0.45152664
the price is reasonable although the service is poor.,"[('service', None), ('price', None)]",0.40591294
"the quantity is also very good, you will come out satisfied.","[('quantity', None)]",0.33825666
i have been to roth's twice and both times were very disappointing.,"[(""roth's"", None)]",0.38124335
"raga's is a romantic, cozy restaurant.","[(""raga's"", None)]",0.48496604
the fried rice is amazing here.,"[('fried rice', None)]",0.593631
the place is so cool and the service is prompt and curtious.,"[('place', None), ('service', None)]",0.57163215
the food was delicious but do not come here on a empty stomach.,"[('food', None)]",0.52718174
the wine list is excellent.,"[('wine list', None)]",0.44073418
so garantuan that you can't fit them in a toaster.,"[('fit', None)]",0.32836327
"ive been to many thai restaurants in manhattan before, and toons is by far the best thai food ive had (except for my mom's of course).","[('toons', None)]",0.5480301
i highly recommend the sophia pizza.,"[('sophia pizza', None)]",0.6424998
"nice atmosphere, the service was very pleasant and the desert was good.","[('atmosphere', None), ('service', None)]",0.518951
after really enjoying ourselves at the bar we sat down at a table and had dinner.,"[('bar', None)]",0.39511853
"fabulous service, fantastic food, and a chilled out atmosphere and environment.","[('atmosphere', None), ('service', None), ('food', None)]",0.629989
"pricey, but worth a try, at least once.","[('pricey', None)]",0.3589351
i liked the beer selection!,"[('beer selection', None)]",0.5257596
"great food, good size menu, great service and an unpretensious setting.","[('service', None), ('setting', None), ('food', None), ('size menu', None)]",0.77006316
wine list selection is good and wine-by-the-glass was generously filled to the top.,"[('wine list selection', None), ('wine-by-the-glass', None)]",0.38154086
"with the great variety on the menu , i eat here often and never get bored .","[('variety', None)]",0.6228154
the menu is very limited - i think we counted 4 or 5 entrees.,"[('menu', None)]",0.3824546
the menu is limited but almost all of the dishes are excellent.,"[('dishes', None), ('menu', None)]",0.61484474
not too crazy about their sake martini.,"[('martini', None)]",0.46274418
"great bagels, spreads and a good place to hang out in.","[('spreads', None), ('bagels', None)]",0.61626023
"the service varys from day to day- sometimes they're very nice, and sometimes not.","[('service', None)]",0.44047576
"whoever the jazz duo was, they were on point.","[('jazz duo', None)]",0.08278942
"unfortunately, the food is outstanding, but everything else about this restaurant is the pits.","[('pits', None), ('food', None)]",0.76457626
the pizza was pretty good and huge.,"[('pizza', None)]",0.59510016
"the cuisine from what i've gathered is authentic taiwanese, though its very different from what i've been accustomed to in taipei.","[('taiwanese cuisine', None)]",0.3960539
heartland brewery is by far one of the best places in nyc to make new friends and catch up with old ones.,"[('heartland brewery', None)]",0.3998008
i almost hesititate to write a review because the atmosphere was so great and i would hate for it too become to crowded.,"[('atmosphere', None)]",0.3154393
they are often crowded on the weekends but they are efficient and accurate with their service.,"[('service', None)]",0.3577355
"the atmosphere is unheralded, the service impecible, and the food magnificant.","[('atmosphere', None), ('service', None)]",0.3399563
"the wait staff is friendly, and the food has gotten better and better!","[('wait staff', None), ('food', None)]",0.6164856
"it may be a bit packed on weekends, but the vibe is good and it is the best french food you will find in the area.","[('french food', None), ('vibe', None)]",0.5709689
le pere pinard has a $15 pre-theater menu that is outstanding.,"[('le pere pinard', None)]",0.41958755
we have been to montparnasse many times and return often for good reason.,"[('montparnasse', None)]",0.35160428
we had the lobster sandwich and it was fantastic.,"[('lobster sandwich', None)]",0.60174984
"though the spider roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.","[('spider roll', None), ('price', None)]",0.32381797
deep fried skewers are good and still rare to find in nyc.,"[('deep fried skewers', None)]",0.50126785
their tuna tartar appetizer is to die for.,"[('tuna tartar', None)]",0.427701
"if you love wine and cheese and delicious french fare, you'll love artisanal!","[('artisanal', None)]",0.42165413
plenty of choices to make your own creation.,"[('options', None)]",0.22022298
the lava cake dessert was incredible and i recommend it.,"[('lava cake', None)]",0.5167956
vt is what baby pizzas hope to be when they grow up.,"[('vt', None)]",0.38431343
"from the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.","[('service', None), ('food', None)]",0.54158616
lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for four dollars.,"[('lahore', None)]",0.44504836
good selection of wines ranging from affordable to high end.,"[('selection of wines', None)]",0.43728453
not impressed with the food.,"[('food', None)]",0.70448285
the entire dining experience was wonderful!,"[('dining experience', None)]",0.6953544
the wine selection (by the glass and bottle) is wonderful and i always recommend that friends make a reservation if they're going to be in town.,"[('wine selection', None)]",0.52127635
service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,"[('service', None)]",0.38165957
"order the panang duck, it's fantastic.","[('panang duck', None)]",0.40348473
"food is usually very good, though ocasionally i wondered about freshmess of raw vegatables in side orders.","[('vegatables', None)]",0.51750404
