text,terms,lab_sim
"the food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",[],0.6626169
"for those that go once and don't enjoy it, all i can say is that they just don't get it.",[],0.2858025
"not only was the food outstanding, but the little 'perks' were great.",[],0.6604062
"it took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",[],0.31061617
he has visited thailand and is quite expert on the cuisine.,[],0.45307687
"he can't help, they're bought up so fast.",[],0.19129033
"secondly, on this night the place was overwhelmed by upper east side ladies perfume.",[],0.407797
"i have eaten here a handful of times, for no reason besides sheer convenience.",[],0.5703079
obviously run by folks who know a pie.,[],0.29469055
we were very disappointed.,[],0.2660353
it is definitely special and affordable.,[],0.45770246
i really liked this place.,[],0.5480636
i will be going back very soon.,[],0.25461045
"all the money went into the interior decoration, none of it went to the chefs.",[],0.33078396
"i asked for seltzer with lime, no ice.",[],0.33889782
it was pretty inexpensive too.,[],0.4566711
will not be back.,[],0.13046616
"don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",[],0.50248975
my suggestion is to eat family style because you'll want to try the other dishes.,[],0.5236675
look foward to trying the ruben upon returning.,[],0.1379417
we usually go to the chart house to celebrate a birthday or anniversary.,[],0.2670835
you'll adore it.,[],0.35367483
two words: free wine.,[],0.31640637
worth visiting the 1st ave spot because it is the original store.,[],0.43142253
"i stumbled upon this second floor walk-up two fridays ago when i was with two friends in town from l.a. being serious sushi lovers, we sat at the sushi bar to be closer to the action.",[],0.5212117
"three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",[],0.4430386
it's a perfect place to have a amanzing indian food.,[],0.5961612
at the end you're left with a mild broth with noodles that you can slurp out of a cup.,[],0.36084878
i just wonder how you can have such a delicious meal for such little money.,[],0.5771778
they wouldnt even let me finish my glass of wine before offering another.,[],0.34592843
"whem asked, we had to ask more detailed questions so that we knew what the specials were.",[],0.20884508
this is a consistently great place to dine for lunch or dinner.,[],0.6420216
all the people that i bring there go back on their own and bring their friends!,[],0.3317355
not what i wanted to hear.,[],0.23832075
try the lasagnette appetizer.,[],0.51310396
"i've been there a few times, and i usually end up sitting next to some pretty odd people.",[],0.38419265
go here for a romantic dinner but not for an all out wow dining experience.,[],0.50476164
can't wait to go back.,[],0.28314584
i grew up eating dosa and have yet to find a place in ny to satisfy my taste buds.,[],0.5018911
"if you are a carnivore, come hungry and you will leave more satisfied than you have ever been.",[],0.40206012
one thing i liked about this place is that i never felt rushed or pressured to give up my table ot incoming guests.,[],0.5399258
this place is a great bargain.,[],0.51766056
we happened upon this place purely by accident and were pleased with the results.,[],0.36681002
deff recimmend bukhara they also have opened two new locations guess ill try them out.,[],0.29005414
we always have a delicious meal and always leave feeling satisfied.,[],0.55041283
"dip the ingredients in with your chopsticks, swirl them around, and eat.",[],0.36584386
first went here to enjoy their garden terrace.,[],0.49180597
