text,labs,lab_sim
i highly recommend the restaurant based on our experience last night.,[],0.7464301
i would definently recommend this restaurant.,[],0.74013054
i came into the city to try out this restaurant because a friend had recommended it to my husband.,[],0.72732955
this place is a great stop for great food.,[],0.7246094
this restaurant used to be pretty decent.,[],0.72076035
"after reading the good reviews of this restaurant, i decided to give it a try with two friends.",[],0.6985694
"the food is amazing, rich pastas and fresh doughy pizza.",[],0.698008
the entire dining experience was wonderful!,[],0.6966403
i went there for lunch and it was not as good as i expected from the reviews i read.,[],0.6923046
i found this restaurant to be one that truly values its patrons.,[],0.6902994
it is the best deal in town for a monday night dinner at a fine restaurant.,[],0.68885875
this is a fun restaurant to go to.,[],0.68550175
went there and had a combination of different seafood dishes and appetizers.,[],0.68544966
i highly recommend visiting this restaurant and having dinner and drinks!,[],0.681535
everything about this restaurant was special.,[],0.6813728
this is as good as neighborhood restaurants come.,[],0.68107235
i recommend this place to everyone who asks me where to go for a good meal.,[],0.67771536
"we all had the tasting menu and unlike some of the other reviews, i felt there was more than enough food.",[],0.6766064
the food was pretty tradional but it was hot and good with large portions.,[],0.67628807
it's simply the best meal in nyc.,[],0.6737195
the food was very expensive (we spent $160 for lunch for two) but extremely tasty.,[],0.671639
you get the sense that the people there care about their restaurant and about your experience and that is very nice.,[],0.6713099
i thanked my friend who recommended me this restaurant and will certainly recommend it to others.,[],0.6710317
i recently went to this restaurant with some co-workers for lunch and had an amazing time.,[],0.6708891
the dinner menu is diverse and top-notch as well.,[],0.66999304
the food looked very appetizing and delicious since it came on a variety of fancy plates.,[],0.66824234
it is one the nicest outdoor restaurants i have ever seen in ny--i am from italy and this place rivals the ones in my country.,[],0.6650775
it's a great place to pick up a cheap lunch or dinner.,[],0.6617962
scalina fedeli reminded me why service is so integral to fine dining.,[],0.6617336
"not the greatest sushi place, but excellent for a $19.95 all you can eat.",[],0.6602442
the food was average or above including some surprising tasty dishes.,[],0.65867347
"overall the restaurant is more expensive than our other sushi favorites, but everything was delicious.",[],0.6573017
great pizza for lunch place.,[],0.6561943
"food is average, and i would say even the chain restaurant baluchi's tastes better.",[],0.6559418
"i had a terrific meal, and our server guided us toward a very nice wine in our price range, instead of allowing us to purchase a similarly priced wine that wasn't as good.",[],0.65484697
nice family owned traditional restaurant.,[],0.65470797
they also do a great job for restaurant week.,[],0.6538432
i ate here a week ago and found most dishes average at best and too expensive.,[],0.6537079
"came here for restaurant week, didn't save much, but it was still great.",[],0.65329194
"after hearing a lot of great things about the restaurant, and passing by it on a daily basis, we decided to try.",[],0.6509891
"having not been home in the last 2 years may skew this reviewer a bit, but the food was tasty and spicy sans the oil that comes floating along at similar venues.",[],0.64956117
they've the best desserts and mixed drinks as well as snack foods.,[],0.648837
this little place definitely exceeded my expectations and you sure get a lot of food for your money.,[],0.6484437
"all the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!",[],0.6481543
"i found the food to be outstanding, particulary the salmon dish i had.",[],0.6473714
they have some great entrees here as well.,[],0.6445965
"this is, by far, my favorite restaurant in nyc and i only wish it were more affordable so i could go more often!",[],0.6445417
i liked the food at this quasi-thai restaurant.,[],0.64413947
the most fun restaurant i have ever been too!,[],0.64410883
they treated us well and the food was extremely fresh and well-prepared.,[],0.6410637
this is a consistently great place to dine for lunch or dinner.,[],0.6407978
"we made early dinner reservations and were thoroughly impressed, reminds me of my grandfather, its old school italian scenery with lots of fun stuff to admire.",[],0.638198
the buffet had a nice selection.,[],0.6378716
this place has many different styles of pizza and they are all amazing.,[],0.6375382
i was very disappointed with this restaurant.,[],0.6372871
the all you can eat deal is truly amazing here.,[],0.63608086
"still, try it once, since if you end up loving the food, it could be one of your best dining experiences.",[],0.63524187
this dish is my favorite and i always get it when i go there and never get tired of it.,[],0.6341457
we had a wonderful meal at naples 45 a month ago on a visit to nyc.,[],0.63272154
the menu seemed to have a wide variety of dishes for seafood lovers and interesting ways of preparing them.,[],0.6321583
i think i've had some the best meals of my life at minnow.,[],0.6316151
what an amazing meal and experience!,[],0.6313041
although be warned their dinner menu to sit and take out prices are different.,[],0.6302839
the food was actually aweful.,[],0.6300931
"out of the hundreds of italian restaurants in queens, this is among the best.",[],0.6282362
i would highly recommend this place to anyone who is looking for a fine indian dining experience that is definitely a value for your dollar.,[],0.6272745
one of my favorite restaurants in the neighborhood.,[],0.62615895
the only thing i moderately enjoyed was their grilled chicken special with edamame puree.,[],0.6259647
"the dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest i've ever had).",[],0.6259416
"rao is a good restaurant, but it's nothing special.",[],0.6257155
"i understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",[],0.62527317
the food was authentic.,[],0.62512267
(and i have eaten my share) which impresses me for having such a large amount of people to serve.,[],0.62411326
this is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates.,[],0.62376016
i've been frequenting the tasting room since it first arrived in the east village and i've never been disappointed.,[],0.6225695
"in fact, while leaving the place we saw two people looking at the menu, and i couldn't help telling them that the food was horrible.",[],0.6221377
"compared to other shabu restaurants around town, this places wins hands-down.",[],0.6211714
