text,labs
but the staff was so horrible to us.,"[('staff', None)]"
"to be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of teodora.","[('above average', None), ('other deficiencies', None), ('only redeeming factor', None), ('teodora', None), ('food', None)]"
"the food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.","[('kitchen', None), ('menu', None), ('food', None)]"
where gabriela personaly greets you and recommends you what to eat.,"[('gabriela', None), ('food', None)]"
"for those that go once and don't enjoy it, all i can say is that they just don't get it.",[]
"not only was the food outstanding, but the little 'perks' were great.","[('perks', None), ('food', None)]"
it is very overpriced and not very tasty.,"[('food', None), ('price', None)]"
our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,"[('dish', None), ('waiters', None), ('meats', None), ('half', None), ('orrechiete with sausage and chicken', None)]"
"the bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.","[('taste', None), ('texture', None), ('bagels', None)]"
nevertheless the food itself is pretty good.,"[('itself', None), ('food', None)]"
"i've noticed megadeth, mr. scruff, st. germain, traditional vietnamese songs, black sabbath, jay-z, and daft punk all being played.","[('punk', None), ('st. germain', None), ('traditional vietnamese songs', None), ('black sabbath', None), ('mr. scruff', None), ('vietnamese songs', None), ('megadeth', None), ('daft punk', None), ('sabbath', None), ('z', None)]"
"they did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.","[('temperatures', None), ('mayonnaise', None), ('omelet', None), ('bacon', None), ('cheese', None), ('ingredients', None)]"
"it took half an hour to get our check, which was perfect since we could sit, have drinks and talk!","[('drinks', None), ('check', None)]"
the design and atmosphere is just as good.,"[('atmosphere', None), ('design', None)]"
he has visited thailand and is quite expert on the cuisine.,"[('thailand', None), ('cuisine', None)]"
i would definitely recommend mary's and am making it one of my regular neighborhood haunts.,"[('haunts', None), ('mary', None), ('regular neighborhood haunts', None)]"
the pizza is the best if you like thin crusted pizza.,"[('crusted pizza', None), ('pizza', None)]"
my girlfriend and i stumbled onto this hopping place the other night and had a great time!,"[('place', None), ('other night', None), ('time', None)]"
"he can't help, they're bought up so fast.","[('he', None), ('a', None)]"
"secondly, on this night the place was overwhelmed by upper east side ladies perfume.","[('place', None), ('perfume', None), ('upper east side ladies perfume', None)]"
"i have eaten here a handful of times, for no reason besides sheer convenience.","[('sheer convenience', None), ('convenience', None), ('food', None)]"
obviously run by folks who know a pie.,"[('pie', None), ('folks', None)]"
we were very disappointed.,[]
it is definitely special and affordable.,"[('price', None)]"
i really liked this place.,"[('place', None)]"
i will be going back very soon.,"[('back', None), ('i', None)]"
"all the money went into the interior decoration, none of it went to the chefs.","[('chefs', None), ('interior decoration', None)]"
the seats are uncomfortable if you are sitting against the wall on wooden benches.,"[('wooden benches', None), ('seats', None)]"
"i asked for seltzer with lime, no ice.","[('ice', None), ('lime', None)]"
it was pretty inexpensive too.,[]
will not be back.,"[('back', None), ('re', None)]"
"don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.","[('people', None), ('seafoods', None), ('whole experience', None), ('experience', None), ('selection', None), ('pickles', None), ('meats', None)]"
my suggestion is to eat family style because you'll want to try the other dishes.,"[('style', None), ('other dishes', None), ('suggestion', None), ('family style', None), ('dishes', None)]"
"best of all is the warm vibe, the owner is super friendly and service is fast.","[('owner', None), ('vibe', None), ('service', None)]"
this isn't a value joint.,"[('value', None), ('joint', None)]"
faan's got a great concept but a little rough on the delivery.,"[('concept', None), ('delivery', None)]"
"from the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.","[('spot', None), ('atmosphere', None), ('downtown neighborhood spot', None), ('food', None), ('beat', None), ('service', None)]"
"great food at reasonable prices, makes for an evening that can't be beat!","[('food', None), ('prices', None)]"
look foward to trying the ruben upon returning.,"[('returning', None), ('ruben', None)]"
the only other steakhouse that seems to hold a candle to roth's is the strip house.,"[('candle', None), ('only other steakhouse', None), ('strip house', None), ('steakhouse', None)]"
we usually go to the chart house to celebrate a birthday or anniversary.,"[('chart house', None), ('birthday', None), ('anniversary', None)]"
this little place has a cute interior decor and affordable city prices.,"[('little place', None), ('city prices', None), ('prices', None), ('interior decor', None)]"
you'll adore it.,"[('adorn', None), ('eat', None)]"
two words: free wine.,"[('free', None), ('wine', None)]"
the price is reasonable although the service is poor.,"[('service', None), ('price', None)]"
"the quantity is also very good, you will come out satisfied.","[('quantity', None), ('quality', None)]"
i have been to roth's twice and both times were very disappointing.,"[('roth', None), ('lunch', None), ('times', None)]"
worth visiting the 1st ave spot because it is the original store.,"[('spot', None), ('1st ave spot', None), ('store', None), ('original store', None)]"
