epochs,precision,recall,f1
checkpoint-4,0.6305418719211823,0.39384615384615385,0.48484848484848486
checkpoint-16,0.5717213114754098,0.42923076923076925,0.4903339191564147
checkpoint-24,0.6458852867830424,0.3984615384615385,0.4928639391056137
checkpoint-17,0.630272952853598,0.39076923076923076,0.4824311490978157
checkpoint-20,0.66,0.40615384615384614,0.5028571428571428
checkpoint-8,0.6299212598425197,0.36923076923076925,0.46556741028128035
checkpoint-0,0.2425,0.29846153846153844,0.2675862068965517
checkpoint-10,0.6414634146341464,0.4046153846153846,0.4962264150943395
checkpoint-7,0.6,0.4015384615384615,0.48110599078341015
checkpoint-9,0.5920502092050209,0.43538461538461537,0.5017730496453902
checkpoint-6,0.5611650485436893,0.44461538461538463,0.496137339055794
checkpoint-13,0.58125,0.42923076923076925,0.49380530973451325
checkpoint-3,0.5646817248459959,0.4230769230769231,0.4837291116974494
checkpoint-23,0.6923076923076923,0.36,0.47368421052631576
checkpoint-14,0.6789772727272727,0.3676923076923077,0.4770459081836327
checkpoint-18,0.6083150984682714,0.4276923076923077,0.5022583559168925
checkpoint-11,0.5966735966735967,0.44153846153846155,0.5075154730327144
checkpoint-19,0.5864197530864198,0.43846153846153846,0.5017605633802816
checkpoint-22,0.5934065934065934,0.4153846153846154,0.4886877828054299
checkpoint-5,0.6475,0.3984615384615385,0.49333333333333335
checkpoint-1,0.4835766423357664,0.4076923076923077,0.44240400667779634
checkpoint-15,0.6112412177985949,0.4015384615384615,0.48467966573816146
checkpoint-12,0.655440414507772,0.3892307692307692,0.4884169884169884
checkpoint-25,0.636150234741784,0.4169230769230769,0.503717472118959
checkpoint-21,0.6304347826086957,0.4015384615384615,0.4906015037593985
checkpoint-2,0.6053719008264463,0.45076923076923076,0.5167548500881834
