epochs,precision,recall,f1
checkpoint-4,0.7871148459383753,0.24867256637168142,0.37794216543375925
checkpoint-16,0.7486136783733827,0.3584070796460177,0.4847396768402154
checkpoint-31,0.7915742793791575,0.315929203539823,0.4516129032258065
checkpoint-24,0.8212669683257918,0.32123893805309733,0.4618320610687022
checkpoint-17,0.7875288683602771,0.3017699115044248,0.43634037108125395
checkpoint-30,0.7837259100642399,0.3238938053097345,0.45835942391984963
checkpoint-20,0.7760180995475113,0.3035398230088496,0.43638676844783714
checkpoint-8,0.8014705882352942,0.1929203539823009,0.31098430813124106
checkpoint-0,0.5238095238095238,0.18495575221238938,0.2733812949640288
checkpoint-10,0.8171428571428572,0.25309734513274335,0.3864864864864864
checkpoint-7,0.7313432835820896,0.2168141592920354,0.33447098976109213
checkpoint-9,0.7736720554272517,0.29646017699115046,0.4286628278950736
checkpoint-27,0.8246575342465754,0.2663716814159292,0.402675585284281
checkpoint-6,0.732943469785575,0.3327433628318584,0.45769933049300066
checkpoint-13,0.7234468937875751,0.31946902654867254,0.4432166973603437
checkpoint-3,0.677570093457944,0.25663716814159293,0.3722721437740693
checkpoint-23,0.746177370030581,0.215929203539823,0.3349347975291695
checkpoint-14,0.8173076923076923,0.22566371681415928,0.3536754507628294
checkpoint-18,0.746031746031746,0.3327433628318584,0.46022031823745413
checkpoint-11,0.7956349206349206,0.3548672566371681,0.4908200734394124
checkpoint-19,0.744,0.3292035398230089,0.4564417177914111
checkpoint-29,0.8,0.3008849557522124,0.43729903536977494
checkpoint-22,0.7086466165413534,0.33362831858407077,0.45367027677496996
checkpoint-5,0.7642276422764228,0.24955752212389382,0.3762508338892595
checkpoint-1,0.6897374701670644,0.2557522123893805,0.37314396384764364
checkpoint-26,0.7654075546719682,0.3407079646017699,0.4715248009797917
checkpoint-15,0.7637969094922737,0.30619469026548674,0.43714466203411245
checkpoint-12,0.8134328358208955,0.28938053097345134,0.42689295039164493
checkpoint-25,0.7858719646799117,0.31504424778761064,0.44977890082122546
checkpoint-21,0.7816091954022989,0.3008849557522124,0.4345047923322684
checkpoint-2,0.7336343115124153,0.28761061946902655,0.4132231404958677
checkpoint-28,0.7764227642276422,0.3380530973451327,0.47102342786683105
