epochs,precision,recall,f1
checkpoint-4,0.7462154942119323,0.2288367012561442,0.35026123301985373
checkpoint-16,0.7169266320046216,0.3388858547241944,0.4602262191730021
checkpoint-31,0.7571022727272727,0.2910977607864555,0.4205128205128205
checkpoint-24,0.7684283727399166,0.3017476788640087,0.4333333333333333
checkpoint-17,0.7516778523489933,0.2752594210813763,0.402958225064961
checkpoint-30,0.7243460764587525,0.2949208083014746,0.4191732971084805
checkpoint-20,0.7503692762186115,0.2774440196613872,0.40510366826156297
checkpoint-8,0.7690447400241838,0.1736755871108684,0.28335932278903986
checkpoint-0,0.46730345334313006,0.1736755871108684,0.25323511845510654
checkpoint-10,0.7459016393442623,0.22364827962861825,0.3441176470588236
checkpoint-7,0.7107981220657277,0.2067176406335336,0.32028770890628305
checkpoint-9,0.7081236520488857,0.2689787001638449,0.3898674055016822
checkpoint-27,0.7792792792792793,0.23620972146368105,0.3625314333612741
checkpoint-6,0.6775818639798489,0.2938285090114691,0.4099047619047619
checkpoint-13,0.6930632289748312,0.3083014746040415,0.4267624267624268
checkpoint-3,0.6473569876900797,0.24412889131622065,0.3545508625817966
checkpoint-23,0.7194029850746269,0.19743309666848716,0.3098350117848725
checkpoint-14,0.7608695652173914,0.19115237575095576,0.3055434308162374
checkpoint-18,0.72,0.3145821955215729,0.4378563283922463
checkpoint-11,0.7435424354243543,0.3301474604041507,0.4572617246596066
checkpoint-19,0.7151898734177216,0.3085745494265429,0.43113315528424273
checkpoint-29,0.7778631821675634,0.2763517203713818,0.4078178521055813
checkpoint-22,0.6718100890207716,0.3091206990715456,0.4234149990648962
checkpoint-5,0.7135461604831751,0.22583287820862916,0.3430823480605683
checkpoint-1,0.6436865021770682,0.2422173675587111,0.351984126984127
checkpoint-26,0.7261064785118666,0.3091206990715456,0.4336334035625359
checkpoint-15,0.6911274182788526,0.2829055161114145,0.4014725828327843
checkpoint-12,0.7585924713584288,0.2531403604587657,0.37960687960687955
checkpoint-25,0.7446217904233171,0.293009284543965,0.4205369390554575
checkpoint-21,0.7586972612879349,0.2799016930638995,0.40893676441252746
checkpoint-2,0.6887323943661972,0.2670671764063353,0.38488783943329397
checkpoint-28,0.7467532467532467,0.3140360458765702,0.44213763936947326
