checkpoint,precision_w,recall_w,f1_w,precision_m,recall_m,f1_m
checkpoint-21864,0.7195410628427505,0.7140672782874617,0.6395503696669553,0.5449819582394643,0.4983430854582762,0.44929341009088686
checkpoint-22775,0.7128673713649235,0.7125382262996942,0.639918805069734,0.538911132464944,0.4959161253991046,0.44957137094034905
checkpoint-16398,0.7197461222690581,0.7140672782874617,0.6396458732577472,0.5445469507969508,0.4983430854582762,0.44896905111873264
checkpoint-20953,0.7068373501958055,0.7125382262996942,0.6402183401222908,0.5329245467605155,0.4971361125691926,0.450212657775579
checkpoint-19131,0.7218710421803097,0.7155963302752294,0.6422820858050153,0.5480815993011567,0.4998223753991046,0.45249884042142785
checkpoint-15487,0.7035567029159411,0.7110091743119266,0.6372412069562198,0.5308109118086697,0.4956568226283642,0.4480213524824881
checkpoint-5466,0.6763777277136747,0.7003058103975535,0.6237405905729303,0.505750398305014,0.484626439975967,0.43551876446781246
checkpoint-3644,0.7148312405453842,0.7110091743119266,0.6332542395372737,0.5352811425835826,0.49951830214605497,0.4412766423328736
checkpoint-7288,0.7210437699079215,0.7171253822629969,0.6494290123500334,0.5492731519626144,0.4998801601624182,0.4602167994294058
checkpoint-4555,0.6827565083048361,0.7018348623853211,0.6202509970740696,0.518872436594676,0.4814272992438703,0.4349936705999367
checkpoint-14576,0.7113555504678009,0.7110091743119266,0.6376619554226479,0.5343508615567439,0.4956568226283642,0.44579141515761234
checkpoint-12754,0.6835506723228771,0.7064220183486238,0.6398261927057302,0.5070081185817503,0.4956958654713773,0.4493335259037268
checkpoint-2733,0.7211760362676981,0.7125382262996942,0.6337229382292401,0.5546820994442898,0.4924576818962675,0.44738420930273365
checkpoint-9110,0.715392868322971,0.7186544342507645,0.6487430408531326,0.5390841898104515,0.5040009424508494,0.45743589743589746
checkpoint-17309,0.7077057328295189,0.7048929663608563,0.6277144873518733,0.5399307318641888,0.4875720055766194,0.44135671532420706
checkpoint-29152,0.7135981448437817,0.7171253822629969,0.6471704453257533,0.538676302822884,0.5008278302807614,0.45616187384044526
checkpoint-18220,0.7096013444637298,0.7140672782874617,0.6429957344481464,0.5358108108108108,0.498615402510021,0.45304496259110094
checkpoint-10021,0.7106029029185941,0.7110091743119266,0.6442036713369016,0.5401906438850486,0.4932876473325062,0.45557567501716617
checkpoint-10932,0.7323921136701943,0.7125382262996942,0.6358176526749364,0.5593939493273089,0.49442382117727185,0.4460845902597785
checkpoint-11843,0.7190974879365768,0.7155963302752294,0.6474764370700938,0.5529653416822732,0.49548706082224225,0.4608639168317221
checkpoint-911,0.7488779538242567,0.735474006116208,0.7361985601551337,0.5263366167678765,0.5527225469164829,0.5349766064588435
checkpoint-24597,0.7164938086494641,0.7125382262996942,0.6365255688831288,0.5430900754726258,0.4968637955174478,0.44705564343097914
checkpoint-25508,0.7152339158393856,0.7110091743119266,0.6351735418246308,0.542168384964483,0.4949106705174478,0.44577160001669436
checkpoint-28241,0.7163030123246663,0.7186544342507645,0.6499954233636346,0.5408630279034691,0.5023071202215899,0.4586205287440491
checkpoint-6377,0.6865439592342002,0.6896024464831805,0.6015353862384916,0.5255958891623371,0.46769763948055665,0.4182498113040156
checkpoint-20042,0.7173204821559385,0.7125382262996942,0.636910622473972,0.5413644748658948,0.4968637955174478,0.4457643496363678
checkpoint-23686,0.7192456354240334,0.7125382262996942,0.6386251207481176,0.5427412223630711,0.4976099476283642,0.44738327884107937
checkpoint-1822,0.7028688797711111,0.6987767584097859,0.6151862809593789,0.5403523250395296,0.4816548458133058,0.43260275783123237
checkpoint-27330,0.7163030123246663,0.7186544342507645,0.6499954233636346,0.5408630279034691,0.5023071202215899,0.4586205287440491
checkpoint-8199,0.7081549946551934,0.7079510703363915,0.6352943209040713,0.5396625755565384,0.4900567503991046,0.4480550232212141
checkpoint-26419,0.7154110078422005,0.7155963302752294,0.642635109450271,0.5407694782694783,0.4998223753991046,0.4521494598972256
checkpoint-13665,0.7134752123021374,0.7079510703363915,0.6328393189141979,0.5385435810728025,0.4910044205174478,0.4419029494812633
