checkpoint,precision_w,recall_w,f1_w,precision_m,recall_m,f1_m
checkpoint-21864,0.7043148428386771,0.7003058103975535,0.6444603292578005,0.5255798969072165,0.49554640458796784,0.45504024327203507
checkpoint-22775,0.7086820501458506,0.7003058103975535,0.6470074554120111,0.5251381713324523,0.49751254386897226,0.4552741551522633
checkpoint-16398,0.7106101686833682,0.6972477064220184,0.6384714397326097,0.5288625088589654,0.49428164693557064,0.44798615564030164
checkpoint-20953,0.686758942352364,0.6880733944954128,0.6300518575462476,0.5103904158293797,0.4837828841056586,0.4422577136428931
checkpoint-19131,0.6951788310451268,0.6987767584097859,0.6450781377061777,0.520052693208431,0.4914256222995367,0.4568273959135305
checkpoint-15487,0.6950314181830641,0.6957186544342507,0.6310304363769711,0.5223062832170992,0.48887007843273356,0.4448202562191703
checkpoint-5466,0.7061737201383198,0.7018348623853211,0.6442030470901912,0.5330421760768744,0.491399593737528,0.45633520216174944
checkpoint-3644,0.719354320954638,0.6941896024464832,0.6476022959581994,0.5340599163521504,0.4987845881630776,0.4577444414836327
checkpoint-7288,0.6796878562019659,0.6819571865443425,0.6194442984366354,0.5092843589048522,0.4773918892831734,0.43548636084376435
checkpoint-4555,0.7056208481849398,0.6712538226299695,0.5985725206702881,0.5301568758344459,0.476050604947162,0.41561543660582323
checkpoint-14576,0.6984870468431357,0.6896024464831805,0.6266307648163001,0.5225411544692204,0.48715751428317344,0.4400771015606438
checkpoint-12754,0.6974492064459968,0.6972477064220184,0.6382995337921544,0.5233343797585284,0.49136783753622304,0.4514335905640253
checkpoint-2733,0.7204054074378515,0.7079510703363915,0.6527109379201999,0.5535189754135221,0.48877684331022575,0.46567060688106715
checkpoint-9110,0.7115572810598593,0.7033639143730887,0.6616869698454584,0.5236223539805361,0.5044742013569556,0.4685667956097207
checkpoint-17309,0.7077361745442065,0.6972477064220184,0.6374235342508697,0.5299104983067247,0.4918416725953947,0.44853801169590646
checkpoint-29152,0.6995720547997084,0.6972477064220184,0.6400082715995259,0.5236544415336986,0.4921139896471395,0.45225726352567575
checkpoint-18220,0.7020386873082962,0.7018348623853211,0.6478976538589202,0.525240043362672,0.4953318722995367,0.4589693109948382
checkpoint-10021,0.7032282891366636,0.6987767584097859,0.6423943044944241,0.5221658517811336,0.4928471274770515,0.451053258335867
checkpoint-10932,0.7180116056321958,0.7048929663608563,0.650466938811107,0.5400619783996072,0.5016780966397126,0.4622734921059719
checkpoint-11843,0.7033010630539177,0.7064220183486238,0.6571990420577278,0.5246312936624213,0.5017358814030263,0.4676193072675957
checkpoint-911,0.715439078865489,0.7048929663608563,0.7036843550734053,0.504562514423933,0.511220072576307,0.5019851074703396
checkpoint-24597,0.7050522610763935,0.6987767584097859,0.6438310658778977,0.5240096618357488,0.4960332539281438,0.45370354519873346
checkpoint-25508,0.7061370993046512,0.6972477064220184,0.6406239761116046,0.5272461456671983,0.49455396398731544,0.4519690099177962
checkpoint-28241,0.6966591841791681,0.6972477064220184,0.6415161698440073,0.5202581678220197,0.49164015458796784,0.45319345403776656
checkpoint-6377,0.711756763601598,0.6941896024464832,0.6229622881308274,0.5492843207517121,0.48223852275980844,0.4421548493177707
checkpoint-20042,0.6963267441211154,0.6957186544342507,0.639702412311038,0.5168806757152622,0.49138085181722746,0.44991775111912413
checkpoint-23686,0.7032643091284596,0.6957186544342507,0.637783596586004,0.5252638964040389,0.491854686876399,0.4492646010942268
checkpoint-1822,0.7203251599144934,0.6758409785932722,0.59050369272924,0.5655533602900435,0.4569656024419129,0.41330206102440487
checkpoint-27330,0.6974041211560984,0.6957186544342507,0.637443342463057,0.5213715494464526,0.490634699706311,0.4496430774248132
checkpoint-8199,0.6929232663124278,0.7018348623853211,0.6441822625342424,0.5215481224202154,0.48895961939735205,0.4562723490158241
checkpoint-26419,0.6910045306139176,0.6926605504587156,0.6350655783069669,0.5150180029230212,0.487948436876399,0.4473540897349214
checkpoint-13665,0.700707334425629,0.6941896024464832,0.6358696704598195,0.5258969263381028,0.49112154904648697,0.4496964435093412
