checkpoint,precision_w,recall_w,f1_w,precision_m,recall_m,f1_m
checkpoint-21864,0.7405005057670982,0.7601410934744268,0.7288526435696508,0.5137721185991706,0.474048273155416,0.46482043550073915
checkpoint-22775,0.7408362248010912,0.7592592592592593,0.730687407669246,0.5058056171702362,0.4811616954474097,0.4665924182499528
checkpoint-16398,0.7500579390575622,0.7601410934744268,0.7341407281029018,0.5140711377977054,0.4870977237048666,0.4709988527796269
checkpoint-20953,0.7500430232804562,0.7663139329805997,0.7374782511288975,0.522494434993971,0.4857731554160125,0.47572432733947223
checkpoint-19131,0.7317431300048888,0.7610229276895943,0.7337332155630797,0.5005701736913394,0.4762558869701727,0.4719953995083834
checkpoint-15487,0.7323143718024034,0.7522045855379189,0.7247810494532945,0.5009650605696392,0.4737539246467818,0.4634145589290511
checkpoint-5466,0.7357985487279524,0.7663139329805997,0.7362299062399988,0.5067644403670781,0.4773842229199372,0.4729028669601749
checkpoint-3644,0.751491262160374,0.7654320987654321,0.7442357549235511,0.5095274523755269,0.5003434065934066,0.48472230588185106
checkpoint-7288,0.7365365951944108,0.7583774250440917,0.7328261861107558,0.5004411340260286,0.48081828885400313,0.4705776923703092
checkpoint-4555,0.7457941021575193,0.7557319223985891,0.7171453701099112,0.5158127276955276,0.47605965463108324,0.44855212761895813
checkpoint-14576,0.7366566794411695,0.7583774250440917,0.7272180292057127,0.5041193163922241,0.47615777080062793,0.46226871145001597
checkpoint-12754,0.7432179062531366,0.7627865961199295,0.7371038015428262,0.5117973286875726,0.48439952904238615,0.476414819901745
checkpoint-2733,0.7580095601369398,0.783068783068783,0.7548083524665424,0.5312043330707819,0.4913657770800628,0.490930623257648
checkpoint-9110,0.7407529881615882,0.7566137566137566,0.7410964625136471,0.48942327590151113,0.4987735478806907,0.4832029171745076
checkpoint-17309,0.7418324913115804,0.7601410934744268,0.7316742918530889,0.5142334602061903,0.47777668759811615,0.4697487452451481
checkpoint-29152,0.7370306396777979,0.7592592592592593,0.725070638296375,0.5119917013721802,0.47184065934065933,0.46075515059192074
checkpoint-18220,0.7469198778885201,0.7645502645502645,0.7380791122951035,0.5161607944820106,0.48508634222919933,0.47643604571891385
checkpoint-10021,0.7405100892162144,0.7627865961199295,0.7398175014606317,0.5008522940239,0.4899921507064364,0.4790938335689252
checkpoint-10932,0.7343642103820222,0.7548500881834215,0.7285595548171646,0.49929953157529494,0.47944466248037676,0.4672022132176844
checkpoint-11843,0.7420241679353482,0.7627865961199295,0.7411343721280216,0.5040485669839427,0.4918563579277865,0.4824047428450605
checkpoint-911,0.7725412993038213,0.7107583774250441,0.728005046780348,0.49355910858320123,0.528453689167975,0.4981418753766472
checkpoint-24597,0.7432403764195857,0.7610229276895943,0.7304143591233763,0.5141926377548915,0.47905219780219777,0.46677605097260316
checkpoint-25508,0.7379823234460027,0.7601410934744268,0.7256468013218195,0.5108110545512846,0.474048273155416,0.4605646639060037
checkpoint-28241,0.7380881784382295,0.7610229276895943,0.7273981122009796,0.5128473039792795,0.4743916797488226,0.463742315516509
checkpoint-6377,0.7197377133375928,0.7548500881834215,0.7181489553767468,0.49234789380486244,0.46173469387755106,0.45216000939609724
checkpoint-20042,0.7445302954101121,0.7619047619047619,0.7330518199908527,0.5129907068801858,0.4831240188383046,0.47016770113210543
checkpoint-23686,0.731813097302422,0.7548500881834215,0.7204164571904241,0.5038497566373619,0.47012362637362637,0.4557522645501388
checkpoint-1822,0.7420212714218505,0.7671957671957672,0.7262034349640112,0.5261479121164069,0.46561028257456827,0.45873848578024523
checkpoint-27330,0.7407792168799461,0.7619047619047619,0.7274865316794163,0.5159141861813644,0.4747350863422292,0.4629946319395246
checkpoint-8199,0.7247307013896591,0.7557319223985891,0.7263557209258055,0.49125979956701027,0.46953492935635793,0.46220392866945115
checkpoint-26419,0.7356951950229486,0.7583774250440917,0.7237114355589399,0.510211537083289,0.47149725274725274,0.45928537712471096
checkpoint-13665,0.7362670010848419,0.7592592592592593,0.7275896933006948,0.5053456336238199,0.47556907378335944,0.4629582576167326
