checkpoint,precision_w,recall_w,f1_w,precision_m,recall_m,f1_m
checkpoint-8880,0.8061809188303198,0.7996941896024465,0.7899941436102202,0.7323664673044077,0.6390173295996807,0.6475484900554294
checkpoint-7104,0.7938257598470767,0.7844036697247706,0.770743554950396,0.7222556446821152,0.6251721003097399,0.6300026161052317
checkpoint-5920,0.7926213634153625,0.790519877675841,0.7777285779406725,0.6858388353421,0.6286492857328776,0.6322934285668991
checkpoint-1480,0.8067600141424965,0.7981651376146789,0.7925358016014364,0.7205159252641149,0.6537206880433463,0.661965671721336
checkpoint-3552,0.8067416936343361,0.8012232415902141,0.7942924777412098,0.7208132983894826,0.6832060667697687,0.6880713635120176
checkpoint-2960,0.7882288150498575,0.7813455657492355,0.7641543561832044,0.7038990236830929,0.6292408254741536,0.6368498857763549
checkpoint-1776,0.8058811069604377,0.7951070336391437,0.7905966823123374,0.7151799181210946,0.6571343610638741,0.6607575682415312
checkpoint-4736,0.7962434338892121,0.7920489296636085,0.7795299346347198,0.6781097738724857,0.6208628142948862,0.6175284751218768
checkpoint-592,0.799003163977313,0.7935779816513762,0.7782918826948411,0.8255995570865028,0.5957950044682365,0.5997024979150256
checkpoint-5624,0.813921716253164,0.8042813455657493,0.7944205347186417,0.8309922506455643,0.6291079713555675,0.6379588977213874
checkpoint-7696,0.8095876823955834,0.8027522935779816,0.7933460763972696,0.7345174795908332,0.6424497445405091,0.6503813822689434
checkpoint-2664,0.7764514722840278,0.7752293577981652,0.7556471305631587,0.6776739793636596,0.6091779556516684,0.6129892745934724
checkpoint-5032,0.7984491318217483,0.790519877675841,0.7737510537437088,0.7069624905404142,0.6136866245184716,0.6136162793223578
checkpoint-8584,0.8059703445796393,0.7996941896024465,0.7904599119426273,0.7316206328971198,0.639763481710597,0.6480770607720608
checkpoint-296,0.7695047224726372,0.7767584097859327,0.7550557215634073,0.5703139117385941,0.563612483786375,0.5492652290515023
checkpoint-7400,0.8006214688225564,0.7951070336391437,0.7855343973690571,0.7049809390048154,0.6487251698363671,0.6543378020131468
checkpoint-7992,0.8104568835524739,0.8058103975535168,0.7975406684138661,0.7347235023041475,0.6456806414739107,0.654395798671934
checkpoint-9472,0.8032863866331059,0.7966360856269113,0.7863816708896876,0.7299714530976239,0.6360587497180239,0.6442300337166461
checkpoint-2368,0.8135943997504775,0.7981651376146789,0.7878263580638292,0.7510215810059698,0.651612950673706,0.66070502277235
checkpoint-888,0.8160380440848937,0.8058103975535168,0.7873841564230794,0.8479635001208605,0.6018616251149596,0.6093049644147145
checkpoint-9176,0.8044522901419098,0.7981651376146789,0.7880996453838214,0.7313202247191011,0.6375380396588524,0.6460418817704571
checkpoint-3256,0.7961151694848492,0.7889908256880734,0.7746503501740404,0.7033782201405152,0.626151526629388,0.6302213936467397
checkpoint-6808,0.8089381536469137,0.8042813455657493,0.797082349219643,0.7266700708879009,0.6578732265330823,0.667762353592092
checkpoint-8288,0.8061809188303198,0.7996941896024465,0.7899941436102202,0.7323664673044077,0.6390173295996807,0.6475484900554294
checkpoint-4440,0.7960403239838371,0.7920489296636085,0.7811314758339175,0.6858357113039992,0.6328408670656267,0.6349770316248274
checkpoint-5328,0.797462430988408,0.7920489296636085,0.7779231154322286,0.7447784925507139,0.6159828656145343,0.6212537228461852
checkpoint-2072,0.7989369106720458,0.790519877675841,0.779656471308051,0.6972545509486484,0.6564668707920491,0.6583902673521791
checkpoint-4144,0.8015815833151431,0.7920489296636085,0.7842170562455024,0.6722316053275574,0.649698868516719,0.6448918569201587
checkpoint-6512,0.8077553593389971,0.8027522935779816,0.7947780866601749,0.7098059514637904,0.6561216195405091,0.6622725976063588
checkpoint-6216,0.7976344480086943,0.7889908256880734,0.7780196199716475,0.7017545061502862,0.6432818451322251,0.6468973744936871
checkpoint-1184,0.8202694369191338,0.8119266055045872,0.8046024020213287,0.8375734513553724,0.6628297018970484,0.6874557413800975
checkpoint-3848,0.7944485243970643,0.7798165137614679,0.7589892243689765,0.7656408984501877,0.61551116571084,0.6243914029081677
