checkpoint,precision_w,recall_w,f1_w,precision_m,recall_m,f1_m
checkpoint-8880,0.8338653563139509,0.8333333333333334,0.8283512842849978,0.6637399633473486,0.7107044740973312,0.6705209181855208
checkpoint-7104,0.8339271062759802,0.8350970017636684,0.8243683003574197,0.6611864269035717,0.6513932496075354,0.6404099801547464
checkpoint-5920,0.8299672688561577,0.8342151675485009,0.8224807287036253,0.6568050193050193,0.6307397959183674,0.6302544680345133
checkpoint-1480,0.8249848002934422,0.8298059964726632,0.8214165283695843,0.6603072853072853,0.6659144427001569,0.6533025170405456
checkpoint-3552,0.8364291441042072,0.8306878306878307,0.8288999910400928,0.6542299028313334,0.7318485086342229,0.6689336074850388
checkpoint-2960,0.8209606959209009,0.8271604938271605,0.8134986008825645,0.678273016269643,0.6546310832025117,0.6515801652242834
checkpoint-1776,0.8214970536174409,0.8218694885361552,0.8185064621887365,0.628785163339383,0.6536989795918368,0.6349968101504075
checkpoint-4736,0.8320752480902887,0.8350970017636684,0.8278539948769584,0.6586477698122808,0.6616463893249608,0.6512510884853795
checkpoint-592,0.7823276748971193,0.8042328042328042,0.7881785294376762,0.5460957532051283,0.5359595761381476,0.5343694464493329
checkpoint-5624,0.8315009831187962,0.8368606701940036,0.8309581539151563,0.6415508651754784,0.6319662480376766,0.632099755581041
checkpoint-7696,0.8356483931150293,0.8342151675485009,0.8290805056230637,0.6598904272917656,0.6953983516483516,0.6620518752399851
checkpoint-2664,0.8320822180039027,0.8368606701940036,0.8274949268182178,0.6961512327109831,0.7055533751962324,0.688539518228409
checkpoint-5032,0.8369990317565454,0.8403880070546738,0.8283355311677751,0.661691679862146,0.6249509419152276,0.6284662233191645
checkpoint-8584,0.830761772508317,0.8298059964726632,0.8261948529216123,0.6553789578465742,0.7102629513343799,0.6668040875657527
checkpoint-296,0.767924177061073,0.7892416225749559,0.7679260853773816,0.5249494793204806,0.5235969387755102,0.5092891916741022
checkpoint-7400,0.8386859050945071,0.8368606701940036,0.830772800577481,0.6710992555831266,0.7111459968602826,0.6719512147150455
checkpoint-7992,0.8350167037992733,0.8333333333333334,0.8306333469910673,0.6660113522407033,0.7328787284144427,0.682933441738635
checkpoint-9472,0.8359634208141599,0.8350970017636684,0.8288380448412599,0.668066138439529,0.7095270800627944,0.6700709580067895
checkpoint-2368,0.8329648317507037,0.8368606701940036,0.8271500748635736,0.6931502567914584,0.6761185243328101,0.6736125736232735
checkpoint-888,0.7958236339940805,0.8174603174603174,0.7888150628374538,0.572876933802044,0.5271291208791209,0.5266237374610412
checkpoint-9176,0.8371102191973723,0.8359788359788359,0.8300054284256495,0.6689071115889134,0.710802590266876,0.6713386139926424
checkpoint-3256,0.8277430807616012,0.828042328042328,0.8185048046968221,0.6655621486041347,0.6846055729984302,0.6577986967550075
checkpoint-6808,0.8310179078122572,0.8289241622574955,0.827088992794048,0.6454278103947837,0.6942700156985872,0.6576456970286042
checkpoint-8288,0.8358967023206982,0.8350970017636684,0.8295363446807558,0.6673264908997535,0.7113912872841444,0.671656837539144
checkpoint-4440,0.8216618351839127,0.8227513227513228,0.8167887923681958,0.6398724610004856,0.6678277080062794,0.6413428116625832
checkpoint-5328,0.8377910169572106,0.8421516754850088,0.831103202144494,0.6746452218884533,0.6440835949764521,0.6468467868017362
checkpoint-2072,0.817173953036916,0.8209876543209876,0.8125324507490831,0.657954559305713,0.6937794348508635,0.6602716369778372
checkpoint-4144,0.8319383872150027,0.8201058201058201,0.8183958675539309,0.6516643896052144,0.7765404238618524,0.6699438779481479
checkpoint-6512,0.8309979671546157,0.828042328042328,0.8256031475692478,0.6416991478466888,0.6920624018838305,0.6515471489506593
checkpoint-6216,0.8375678984889018,0.8368606701940036,0.8297712712415201,0.6591669503261666,0.675186420722135,0.6518680761375432
checkpoint-1184,0.8186113886207619,0.8236331569664903,0.8188610997739069,0.649708461947689,0.6268151491365777,0.6319898530507537
checkpoint-3848,0.8275432525735786,0.826278659611993,0.807715589498668,0.6693207722408075,0.6330455259026688,0.6233966239530548
