checkpoint,precision_w,recall_w,f1_w,precision_m,recall_m,f1_m
checkpoint-12936,0.8405953147114763,0.8492063492063492,0.8373855176598172,0.7471110802076711,0.6853905023547882,0.7069142292473678
checkpoint-4620,0.8477146497135775,0.8562610229276896,0.8430320536370781,0.7835746736141808,0.679945054945055,0.7142664999018549
checkpoint-11550,0.8432229434474566,0.8509700176366843,0.8405622891531085,0.7308522336769758,0.6907378335949764,0.7026017979300818
checkpoint-8778,0.8533066673835349,0.8562610229276896,0.851521797864798,0.6978342825618253,0.7049156200941916,0.6925829084385289
checkpoint-13398,0.842452008948223,0.8492063492063492,0.8393330319881921,0.7177375306519217,0.6881868131868132,0.69400245674256
checkpoint-462,0.8550791908355587,0.8509700176366843,0.8506988163332212,0.601675837323441,0.6175431711145997,0.6064359401517421
checkpoint-9240,0.8405337250076971,0.845679012345679,0.8351836398232105,0.7146676131980321,0.701530612244898,0.6945881008787405
checkpoint-12012,0.8436280097477105,0.8527336860670194,0.841599571846146,0.7583184027111708,0.6914246467817896,0.7160765048890392
checkpoint-1386,0.860306668640002,0.8641975308641975,0.8584002508444486,0.7198301698301699,0.7026098901098902,0.7057287053805514
checkpoint-1848,0.8129386486788771,0.828042328042328,0.7997865725013404,0.60451334864502,0.5321821036106751,0.5419864337748268
checkpoint-7392,0.8471054630058462,0.8518518518518519,0.8395922911135894,0.7419500757862827,0.6882849293563579,0.7025460340876163
checkpoint-13860,0.8413640681451888,0.8483245149911817,0.8382105563359533,0.71616390199039,0.6869113029827315,0.6923788758884291
checkpoint-6930,0.8561477637620644,0.8562610229276896,0.8519412599378143,0.7057818903248442,0.7436715070643642,0.7086147544261279
checkpoint-9702,0.8508166364427663,0.8571428571428571,0.8483747724356849,0.7317699444381234,0.6968700941915228,0.7070905893705277
checkpoint-6468,0.8512317258270446,0.8571428571428571,0.8436714751124532,0.7381467674362907,0.6821526687598116,0.6960846612924694
checkpoint-11088,0.8453056042057064,0.8527336860670194,0.8432846910589986,0.7318161361820861,0.6951530612244898,0.7062689625052262
checkpoint-14322,0.8434921348625711,0.8500881834215167,0.840474391730074,0.7184965017917652,0.6894623233908949,0.6952444047462276
checkpoint-10626,0.8463717146570267,0.8509700176366843,0.8421995255616971,0.7127055805290232,0.7091836734693878,0.6983418256256537
checkpoint-12474,0.8423455115474993,0.8509700176366843,0.8391859273873287,0.7489068652267079,0.6879415227629514,0.7091114392594293
checkpoint-14784,0.8434921348625711,0.8500881834215167,0.840474391730074,0.7184965017917652,0.6894623233908949,0.6952444047462276
checkpoint-6006,0.8431122441679866,0.8483245149911817,0.8344027353555331,0.7255308715289559,0.6647370486656201,0.6809027543860244
checkpoint-3234,0.8400759451957709,0.8412698412698413,0.82714715908475,0.7045618801133506,0.6904925431711146,0.672715820744215
checkpoint-4158,0.8523639676134779,0.8544973544973545,0.8405364387793551,0.7600845926900927,0.707760989010989,0.7167930262487563
checkpoint-8316,0.8471144051837751,0.8536155202821869,0.8416960622368508,0.7460353010189374,0.6908359497645212,0.7075590960704843
checkpoint-2310,0.8659578196485531,0.8694885361552028,0.8650595429896428,0.7293812564435133,0.7240482731554161,0.7217695981875947
checkpoint-5082,0.8526291137031023,0.855379188712522,0.845604315954275,0.7371566245401375,0.7099686028257457,0.7105093189320215
checkpoint-5544,0.8473774458713649,0.8544973544973545,0.8439360584691502,0.7187891995103891,0.6580160910518054,0.6798223658736916
checkpoint-3696,0.8576054883991637,0.8580246913580247,0.848678780918136,0.7307129740698196,0.7303767660910518,0.7107334229629887
checkpoint-10164,0.8423646858559429,0.8483245149911817,0.8362472976048245,0.7270726653089584,0.6850470957613815,0.6941143947498354
checkpoint-2772,0.8446912846460426,0.8483245149911817,0.8337395200623732,0.7349526387263993,0.6988324175824175,0.6981156125651194
checkpoint-7854,0.8390126851420444,0.845679012345679,0.8338633632183539,0.7094682723316486,0.6812205651491366,0.6830820838765754
checkpoint-924,0.8124235978058528,0.8077601410934744,0.7678268141230018,0.7042092200551944,0.5710361067503925,0.5783436104609614
