text,terms
"affordable price , reliable item and excellent customer service .","[('price', 'pos'), ('item', 'pos'), ('customer service', 'pos')]"
i did have problem connecting my laptop to the internet but there customer service representative was very helpful and patient in walking me through all the steps .,"[('customer service', 'pos')]"
i have no regrets and thankful to find this product in amazon .,[]
after much homework and too much frustration with our cable provided wireless routers -lrb- 4 replacements in 8 months -rrb- we decided on the netgear n900 !,[]
i am above average with technical knowledge but it is easy enough for the beginner to set up .,"[('set up', 'pos')]"
i had no problems .,[]
our connection and speed immediately soared once it was online and our network was set up .,"[('speed', 'pos'), ('connection', 'pos')]"
the only problem i encountered why i gave it only 4 stars is when i plugged in a usb storage device .,[]
the device is not recognizable on any of the computers even after installing the netgear genie .,[]
the only way i 'm able to access this usb drive is by going through the netgear genie through the isp of the storage device .,[]
"i was happy when i saw all my files and i was able to access them but when i tried to attach a document or file to an email , again i found you ca n't do this !",[]
so the solution i had to do was to make a copy of the image and documents onto my local computer in order to then upload .,[]
if they fix this issue -lrb- which i 've seen in their support as the major complaint -rrb- i would give this a 5-star rating .,[]
"please a firmware upgrade that enables all the usb drives attached to this wireless router to be seen in the actual networked local computer desktop portals and be able to drag and drop , upload , attach , etc. .","[('firmware upgrade', 'pos')]"
without having to go through the netgear genie tool through the isp and taking all the extra steps would be far better .,"[('netgear genie tool', 'neg')]"
the packaging and instructions give the indication of plug-n-play usb ports where you can use any storage device and have it immediately appear in your network as if it was attached to your local computers ... this is a fallacy as it does not actually work that way .,[]
"after my dlink di-614 + router died after 5 years , i bought my new router for a couple bucks less at costco .",[]
costco package offered a 24\/7 customer support number .,[]
since my router and internet connection were down i could n't use installation wizard .,[]
i was pleasantly surprised that customer service was able to step me thru manual setup .,"[('customer service', 'pos')]"
"have n't setup any advanced features , but the signal strength and speed are roughly twice what i had with old router .","[('signal strength', 'pos'), ('speed', 'pos')]"
so far so good .,[]
if i get a chance to setup and confirm advanced features i 'll come back to update review\/rating .,[]
"it works , good customer service -lrb- so far -rrb- = 4 stars .","[('customer service', 'pos')]"
i just got this netgear to replace an pre-n belkin .,[]
i must be getting interference from other people in the building so my connection sometimes would hang .,[]
"video would pixle , so did n't watch that often .",[]
i had the usb adapter for one computer and the express card for the laptop .,[]
the laptop had the better reception .,[]
"sometimes the system would hang , so i would have to restart the router , then get going again .","[('router', 'neg'), ('hang', 'neg')]"
"started looking for a new router , saw this one and thought i 'd give it a try from the reviews .",[]
i 'm glad i did .,[]
"i did n't have to call customer care , i followed the wizard , and it was fairly easy .",[]
"naming the bandwidth was a new one for me , i named it the same as my password .",[]
