text,labs
"i agree about arafat . i mean , shit , they even gave one to jimmy carter
 ha . it should be called  the worst president  prize .","[('jimmy carter', 'neg')]"
"musicmonday britney spears
 - lucky do you remember this song ? it ` s awesome . i love it .","[('britney spears', 'pos')]"
"wtf ? hilary swank
 is coming to my school today , just to chill . lol wow","[('hilary swank', 'neu')]"
"my 3-year-old was amazed yesterday to find that ' real ' 10 pin bowling is nothing like it is on the wii
 ...","[('wii', 'neu')]"
"God damn . That Sony remote for google
 is fucking hideeeeeous !","[('google', 'neg')]"
"listening 2  3  by ms britney spears
 cant wait 4 the video on oct . 19 you guys need 2 love her new single also buy her single collection nov . 24 !","[('britney spears', 'pos')]"
"gerard butler is hot ... 1 . his accent 2 . that romantic movie with hilary swank
 where he was dead 3 . sex scene in the 300","[('hilary swank', 'neu')]"
"no one likes pe at school . all pupils should have to do it in the traditional way . wii
 fit is fun but in schools , madness","[('wii', 'neu')]"
"izašao je you  videoteci  novi harry potter
 i public enemy : -RRB-","[('harry potter', 'neg')]"
"3 by britney spears
 is an amazing song","[('britney spears', 'pos')]"
"people whose reactions I 'd appreciate this morning : bill clinton 's , hillary clinton
 ' is ... george bush 's -LRB- latter for completely difference reasons -RRB-","[('hillary clinton', 'neu')]"
"NowPlaying lady gaga
 - let love down","[('lady gaga', 'neu')]"
"The obama
 domestic genocide hug .","[('obama', 'neg')]"
"Paramore , incubus , justin timberlake
 , a7x , the strokes , motley crue pilih yg mana yaah bingung cc buckupshow","[('justin timberlake', 'pos')]"
"okay maybe just a little shocked xD omg nicolerichie the madonna
 fans are outraged at what you did","[('madonna', 'neu')]"
he might have got the nobel prize just for not being george bush,"[('george bush', 'neu')]"
"People i followed today  Omarion , Natalie Nunn and any PAST BGC cast , Chingy and perez hilton
  what a list of Wackness","[('perez hilton', 'neg')]"
"tomorrow we have art class ! love it ! lsning to britney spears
 - piece of me","[('britney spears', 'pos')]"
Waitrose dumps Fox News in protest over -LSB- Glen Beck -RSB- remarks about barack obama,"[('barack obama', 'neu')]"
"downloaded blacksn0w for my iphone
 . the jailbroken features are cool , but the bugs and connection problems are n't worth it .","[('iphone', 'neu')]"
"nicki minaj
 has brought back the female rapper . - really ? nicki minaj
 is the biggest parody in popular music since the Lonely Island .","[('nicki minaj', 'neg')]"
"my day off after a wedding consist of wii
 zelda and chinese food . i feel like i 'm in jr high . this rocks !!","[('wii', 'pos')]"
"7 inch touch screen 2 din in dash car dvd player with television bluetooth gps ipod
 function dual zone szc1085 : o . .","[('ipod', 'neu')]"
"do n't get me wrong , i am a huge obama supporter but it feels forced or like an  at least you 're not george bush
 award ","[('george bush', 'neu')]"
"FF MarkieAi Likes animals . Hates spiders . Hates charlie sheen
 . Likes cookies .","[('charlie sheen', 'neg')]"
"ESPN Soccer Net News Ardiles backs maradona
 for World Cup glory","[('maradona', 'pos')]"
"There 's a firefighter in my class who looks just like anderson cooper
 but buffer and supposedly straight . notcomplaining","[('anderson cooper', 'neu')]"
"-LSB- happy birthday git * git ! -RSB- ily ! ... some reason im very tired ! but today was really fun ! :-RRB- ugh my ipod
 died !","[('ipod', 'neu')]"
"`` SkyJacquie : Is everyone happy jt
 is back as England Captain ?  NO ! It 's a farce but that 's England . Capello , another expensive FA failure","[('jt', 'neg')]"
"omg !! google wave
 is amazing !!! olo worms plotting stuff in real time . we could meet up in person . . but we all hate each other .","[('google wave', 'pos')]"
"barack obama
 and John McCain clash over Afghanistan strategy : barack obama
 reacted angrily after John McCain a . .","[('barack obama', 'neu')]"
"do you know how to convert youtube videos to psp
 compatible ones through linux command ? thank you in advance : -RRB-","[('psp', 'neu')]"
"`` FrameMaker has detected a serious error and must quit .  So how long has sarah palin
 been writing code for Adobe ?","[('sarah palin', 'neg')]"
"hilary swank
 as amelia earhart is actually pretty great casting .","[('hilary swank', 'pos')]"
they even have red costumes on like britney spears,"[('britney spears', 'neu')]"
"psp
 is being a brat with text . can someone add some writing on something for me right quick ? does n't need to be pretty .","[('psp', 'neu')]"
"ABOVE THE RIM : some mean basketball but misses the layup with hammy acting & a script that 's the equivalent to shaq
 's art creation","[('shaq', 'neg')]"
"The dave matthews
 Band is so damn good . Give me the Chili Peppers and dave matthews
 Band and I 'm set for a very long while . RHCP DMB","[('dave matthews', 'pos')]"
"press start : the faces of ' ballad of gay tony ' ; wii
 update woes extract not available .","[('wii', 'neu')]"
"i love bad romance and fashion and 3 by britney spears
 i love you both lady gag too girl ! her concerts r better than the record !!","[('britney spears', 'neu')]"
"Video : serena williams
 gets x-rated for new tennis game ad ! .","[('serena williams', 'neg')]"
"I love anderson cooper
 ; he is so sensible , honorable and reliable as always . ac360","[('anderson cooper', 'pos')]"
"shorty like a melody in my head that i keep singing like la la la everyday like an ipod
 stuck in replay :-RRB- love that song","[('ipod', 'neu')]"
"bought one of those rechargable iphone
 backup battery packs ... no more fear : - -RRB-","[('iphone', 'neu')]"
". probably the most insightful , eloquent , and intelligent interview i 've ever seen . russell brand
 an intellectual ? damn","[('russell brand', 'neg')]"
"~ I am an ' Independent Thinker ' and President R . Reagan was a great president . ... I support sarah palin
 .","[('sarah palin', 'pos')]"
