text,aspect_term,polarity
"the final insult is that while this router comes with useful software to make sharing printers wirelessly a snap , it 's only a trial version -- you have to download the trial software from the internet then pay an additional $ 40-60 to some unknown company to unlock all the features !",software,pos
i have found this little device to be quite fun to use .,device,pos
i have found this little device to be quite fun to use .,use,pos
from the belkin my reception increased over 25 % .,reception,pos
the audio cube is great .,audio cube,pos
dialogue is very noticeably clearer .,dialogue,pos
the main problems for me is that the dsub cord from the sub to the control station is too short .,dsub cord,neg
the rechargeable battery is a great feature .,battery,pos
the rechargeable battery is a great feature .,feature,pos
i highly recommend this device !,device,pos
worked great until the new firmware that installs securespot .,worked,pos
worked great until the new firmware that installs securespot .,firmware,neg
i highly recomend theese speakers .,speakers,pos
this product is good enough to integrate my clarion cx501 to my toyota camry 2001 mode .,product,pos
- fixed speaker cable -- why do this ?,speaker cable,neg
"you can't , that `` upgrade  is irreversible .",upgrade,neg
does what it should and the sound seems fine to me .,sound,pos
"sound quality is great , bass quality is beyond good .",sound quality,pos
"sound quality is great , bass quality is beyond good .",bass quality,pos
"both units are small , with similarly small speakers .",units,pos
"both units are small , with similarly small speakers .",speakers,pos
it allows the usb interface on the router to be used either for nas or print server .,usb interface,pos
"it takes approximately 20 to 90 seconds to come back online -lrb- i haven't timed it -rrb- , which doesn't sound that bad until you get nailed 10 times in one hour -lrb- that 's about as bad as it gets ; sometimes it goes for hours without rebooting -rrb- .",come back online,neg
"the ihome , however , has markedly better stereo separation as well as bass level .",stereo separation,pos
"the ihome , however , has markedly better stereo separation as well as bass level .",bass level,pos
i have been dealing with wireless routers and access points for a long time -lrb- most recently with cisco\/linksys -rrb- and this was the easiest most efficient setup i 've ever experienced .,setup,pos
when the screen wasn't contracting or glitching the overall picture quality was poor to fair .,screen,neg
when the screen wasn't contracting or glitching the overall picture quality was poor to fair .,picture quality,neg
"the speakers are pretty small , so they won't take up a lot of space , but they play as loud as you want them to , and they have great quality .",speakers,pos
"the speakers are pretty small , so they won't take up a lot of space , but they play as loud as you want them to , and they have great quality .",quality,pos
this product is hard to beat at any price .,price,pos
overall a sweet machine .,machine,pos
fits perfectly in the corner of my small desk !!,fits,pos
selected it because it looked easy to install .,install,pos
very good range and seemed to be better in the horizontal position .,range,pos
the keyboard is also very nice and quite comfortable-although it does take some getting used to .,keyboard,pos
sound effects really sound more authentic .,sound effects,pos
"the colors are bright , beautiful and clear .",colors,pos
bottom line : it didn't work the way it was supposed to so we 're returning it we bought this router for our two computers .,work,neg
"excellent heavy build quality , and the stands are not imposing and blend fairly well into the rest of my furniture .",quality,pos
"excellent heavy build quality , and the stands are not imposing and blend fairly well into the rest of my furniture .",stands,pos
"this is an outstanding product , one that lives up to the pr .",product,pos
simply this product was created and was left behind !,product,neg
easy to use with clear instructions contained in the install drive .,use,pos
easy to use with clear instructions contained in the install drive .,instructions,pos
this is the best sound system i have ever heard .,sound system,pos
the acer monitor has an extremely bright screen and its design allows the placement in an area -lrb- from a heighth perspective -rrb- that many 20  screens will not fit in .,acer monitor,pos
the acer monitor has an extremely bright screen and its design allows the placement in an area -lrb- from a heighth perspective -rrb- that many 20  screens will not fit in .,screen,pos
the acer monitor has an extremely bright screen and its design allows the placement in an area -lrb- from a heighth perspective -rrb- that many 20  screens will not fit in .,design,pos
installation was easy as advertised .,installation,pos
a + + + + + + product and very well built for apple users in mind ... ... oh yeah theres a usb port in the back for you droid people .,product,pos
a + + + + + + product and very well built for apple users in mind ... ... oh yeah theres a usb port in the back for you droid people .,built,pos
"i took them to a different room and tested them with my mp3 player , where they worked fine and sounded pretty good .",worked,pos
"i took them to a different room and tested them with my mp3 player , where they worked fine and sounded pretty good .",sounded,pos
i should 've trusted all the online comments about the terrible repair team of acer .,repair team,neg
i was looking for portability and good battery life and this product delivers both .,portability,pos
i was looking for portability and good battery life and this product delivers both .,battery life,pos
"yes , the buttons are a bit small and close , but they are functional .",buttons,pos
it works flawlessly during installation of cx501 .,works,pos
it works flawlessly during installation of cx501 .,installation,pos
"update jan 12 , 2012 the device has worked flawlessly for the past year .",worked,pos
sound quality and base is amazing .,sound quality,pos
sound quality and base is amazing .,base,pos
"first thing i tested was the speed , and i have to say it was abysmal .",speed,neg
this model router has now failed me twice in the short span of time mentioned .,model router,neg
"reliable , highly available and ease of administration and forget about me -lrb- don't bother anymore -rrb- equipment !",administration,pos
sound is crystal clear and the bass is very deep as well .,sound,pos
sound is crystal clear and the bass is very deep as well .,bass,pos
music sounds great but having surround sound in game is nice and a big difference from headphones .,surround sound,pos
"the sound was crisp , clear , and no distortion .",sound,pos
"the data rate over the network storage is rather slow , but i only use it for occasional backups so it doesn't bother me too much .",data rate,neg
wouldn't buy again because of the customer service .,customer service,neg
"made call which was immediately answered by very helpful , competent tech .",tech,pos
"the colors and viewing angle are about average , but a huge upgrade from the truly terrible quality of the other monitor .",colors,pos
"the colors and viewing angle are about average , but a huge upgrade from the truly terrible quality of the other monitor .",viewing angle,pos
"the colors and viewing angle are about average , but a huge upgrade from the truly terrible quality of the other monitor .",quality,pos
i have no problem at all recommending these stands .,stands,pos
great replacement at great price for an older bulky and heavy monitor .,price,pos
"solid , resistant to scratches , better heat dissipation .",heat dissipation,pos
"they sound wonderful , in my opinion , and i haven't even touched any equalizers .",sound,pos
"we got this on time , and it was brand new , perfect condition , performance as can be expected for the machine specifications , keep in mind i 'm extremely computer savvy , so my opinion comes to a lot of people .",performance,pos
i seem to be getting 5 to 6 hours on the battery which is sufficient for my needs .,battery,pos
"second gripe : in the 6 or so months since we purchased our batch of 30-40 of these monitors , 2 have already been returned for repair or replacement .",monitors,neg
image clarity is great -lrb- i do a lot of work in photoshop with 18mb raw image files and noticed the difference immediately -rrb- .,image,pos
"the speakers are very small and can not handle loud volume gracefully as voice coils top and bottom out , they clip the audio .",speakers,neg
"the speakers are very small and can not handle loud volume gracefully as voice coils top and bottom out , they clip the audio .",volume,neg
for me its perfect and the quality for games and word docs is more than acceptable .,quality,pos
my only complaint is like others here ... it randomly disconnects from the bluetooth and it 's really annoying when it does because it does it so often .,disconnects,neg
"you can also use a 6v dc power supply -lrb- not included -rrb- cons : - bad instructions ; like many products of this type the instructions manual is lacking and , in this case , erroneously lists the power requirements as ac when it should be dc .",instructions,neg
"you can also use a 6v dc power supply -lrb- not included -rrb- cons : - bad instructions ; like many products of this type the instructions manual is lacking and , in this case , erroneously lists the power requirements as ac when it should be dc .",instructions manual,neg
i 'd venture to say that because of it 's low cost it 's the best pc stereo set out there costwise .,cost,pos
i would not recommend this or any acer product to anyone except perhaps my ex .,acer product,neg
it was worth the wait because ag neovo 's standout 17  monitor has all this and more .,ag neovo 's standout 17  monitor,pos
"the router failed today -lrb- completely dead -rrb- , when i need to work from home due to heavy snow !",router,neg
jbl s310 ii is truly amazing .,jbl s310 ii,pos
display glitches and flashes also occurred .,display,neg
"acer has been awful to deal with , they treat their customers like rubbish , and have a miserable repair facility to match their products .",acer,neg
i hesitated for so long because of the price .,price,neg
good price !,price,pos
the range seems quite good even through walls .,range,pos
"after seeing and hearing the sound of the i-tour pop speaker , i was sold .",sound,pos
slow to download and run certain programs wish you the best and hope my review helped !,download,neg
slow to download and run certain programs wish you the best and hope my review helped !,run,neg
last night i needed to reset the router .,reset,neg
the software on the router is pretty good .,software,pos
worked fine .,worked,pos
"the backlight will periodically fail , the first time it happened i sent it in for warranty repair .",backlight,neg
"all in all , bad device , bad customer service ... run like hell from this product .",device,neg
"all in all , bad device , bad customer service ... run like hell from this product .",customer service,neg
"it worked perfectly for about a week , then the problems came .",worked,pos
i 'm not a person well read in technology but this is just an absolutely wonderful computer .,computer,pos
"all in all , this is a very good option for anyone who has a small portable computer and wants a lapdesk and external speakers .",option,pos
<p> i am very happy about my investment and the quality service of amazon and j&r store .,quality service,pos
"- if you want loud , boomy bass , this does the job very well for a computer speaker -lrb- no , these aren't going to hit as hard as larger power-guzzling woofers , but they perform as nice as or better than many home theater woofers i 've heard -rrb- .",computer speaker,pos
"- if you want loud , boomy bass , this does the job very well for a computer speaker -lrb- no , these aren't going to hit as hard as larger power-guzzling woofers , but they perform as nice as or better than many home theater woofers i 've heard -rrb- .",bass,pos
"it was really easy to set up out of the box and i got all my wireless devices -lrb- 2 laptops , 1 desktop and 2 smartphones -rrb- connected to the internet in minutes .",set up,pos
"the model is also very clean and nice , and the software is very user-friendly .",model,pos
"the model is also very clean and nice , and the software is very user-friendly .",software,pos
"this monitor is much , much better but still not great .",monitor,pos
"i did not even have to hit the `` auto tune  button , it just worked instantly .",worked,pos
"i don't think the external switch is much of a feature because in the end , you have to learn how to identify ip addresses , switch the router from from a dynamic to static ip address , and assign a static ip address that is compatible with your router or modem .",external switch,neg
and it works great too !,works,pos
"the range is great , i can list to my radio anywhere in the house .",range,pos
"pros : low weight , long battery life , decent keyboard , decent screen , does not heat up , hdmi output , flawless local hd decoding con : low audio volume , just enough cpu power",weight,pos
"pros : low weight , long battery life , decent keyboard , decent screen , does not heat up , hdmi output , flawless local hd decoding con : low audio volume , just enough cpu power",battery life,pos
"pros : low weight , long battery life , decent keyboard , decent screen , does not heat up , hdmi output , flawless local hd decoding con : low audio volume , just enough cpu power",keyboard,pos
"pros : low weight , long battery life , decent keyboard , decent screen , does not heat up , hdmi output , flawless local hd decoding con : low audio volume , just enough cpu power",screen,pos
"pros : low weight , long battery life , decent keyboard , decent screen , does not heat up , hdmi output , flawless local hd decoding con : low audio volume , just enough cpu power",heat up,pos
"pros : low weight , long battery life , decent keyboard , decent screen , does not heat up , hdmi output , flawless local hd decoding con : low audio volume , just enough cpu power",hdmi output,pos
"pros : low weight , long battery life , decent keyboard , decent screen , does not heat up , hdmi output , flawless local hd decoding con : low audio volume , just enough cpu power",local hd decoding,pos
